aaa;aaa;anda;12;100;0;;;0
7791680101257;;La Hoja x 500g;2.78;2378;N;1;10;0
300;;Espirales "DﾴQUALITY" x 4 U.;0.33;0;N;1;50;0
7791599000948;;Fideos Fusillis x 500g;2.12;610;N;1;12;0
7791599001341;;Fideos Tirabuzon x 500g;2.12;1181;N;1;12;0
7790129501375;;Fosforitos Cohete x 40u;4.79;146;N;1;80;0
7791599000979;;Fideos Tallarines 12u x 500;2.12;5200;N;1;12;0
7794612002486;;Alka Cherry x 800g;15.18;35;N;1;10;0
7794612002752;;Alka Limon x 800g;15.18;89;N;1;10;0
7794612002479;;Alka Mentol x 800g;15.18;62;N;1;10;0
329;;Alka Miel x 800g;14.18;0;N;1;10;0
7794612002769;;Alka Strong x 800g;15.18;103;N;1;10;0
7790580199104;;Chupetin Cosmos x 50u;7.77;222;N;1;12;0
350;;Globos F.Cumplea�os X 25U;5.68;0;N;1;40;0
7791806003878;;Globos Lisos  cotillon9"x 50u;5.77;0;N;1;100;0
7791324157022;;Pitusas Vainilla 30u x 160g;2.08;1979;N;1;30;0
7791324157084;;Pitusas Mousse 30u x 160g;2.08;171;N;1;30;0
7791324157046;;Pitusas Chocolate 30u x 160g;2.08;1322;N;1;30;0
7793024008611;;Chupetin Wamis Yoghus Pop x 50u;4.48;2;N;1;12;0
7798094229935;;Palmeritas 15u x 180 Grs;1.45;263;N;1;15;0
7798094229027;;Coquitos 15 u x 180 Grs;1.45;342;N;1;15;0
7798094229010;;Boquitas de Limon 15u x 180 Grs;1.45;266;N;1;15;0
7798094229041;;Medallon Chocolate 15u x 180g;1.45;400;N;1;15;0
7798094229058;;Medallon Dulce de Leche 15u x 180g;1.45;407;N;1;15;0
461;;Bizcochos de Grasa 15u x 180g;1.35;2;N;1;15;0
500;;Bocadito Stopy Cacao 60u x 17g;13.92;175;N;1;1;0
7794000401389;47794000401387;Mayonesa Hellmanns x 500cc (15);5.95;3;N;1;15;0
7794000401280;;Mayonesa Hellmanns x 250cc (8);2.63;2693;N;1;8;0
7793024000936;;Chupetin Wamis Frutal x 50 u;4.48;2;N;1;12;0
7790129501757;;Estrellitas 10 x 5u;5.91;30;N;1;150;0
522;;Guantes Latex Chicos;2.95;0;N;1;60;0
523;;Guantes Latex Mediano;2.95;0;N;1;60;0
524;;Guantes Latex Grandes;2.95;0;N;1;60;0
7792409006709;;Papel Higienico Maximo 30 mt x 48u;0.48;8236;N;1;48;0
7794000544222;77794000544221;Caldos Wilde Verdura x 6u;1.56;672;N;1;160;0
7794000542228;77794000542227;Caldos Wilde Gallina x 6u (20);1.56;121;N;1;160;0
1779552200052;;Turron Palmesano x 50u;14.18;402;N;1;1;0
535;;Knorr Sopa Quick Espa. Light;4.9;0;N;1;24;0
536;;Camaleon Toys Vibrador x 1;15.48;0;N;1;1;0
537;;Knorr Sopa Quick Veg Light;5.01;0;N;1;24;0
7794000594739;37794000594730;Knorr Sopa Quick Choclo Light;5.15;115;N;1;24;0
539;;Knorr Sopa Quick Zapallo Light;4.81;0;N;1;24;0
540;;Caldos x Saborizar Gallina x 15s;10.14;0;N;1;12;0
541;;Caldos x Saborizar Verdura x 15s;10.14;0;N;1;12;0
542;;Caldos x Saborizar Carne x 15s;10.14;0;N;1;12;0
549;;Papitas Fritas X 20U;5.41;368;N;1;10;0
7790129500637;;Volcan Estruendoso x10;6.53;296;N;1;100;0
577;;Jabon Tocador polyana x 125g;1.28;0;N;1;72;0
7790129036006;;Curitas X 10U;0.98;898;N;1;200;0
583;;Actron x 10u;6.53;0;N;1;1;0
77908827;;Alf Mogy Negro 60u x 21g;13.92;789;N;1;1;0
1779809422831;;Alf Mogy Blanco 60u x 21g;13.92;191;N;1;1;0
7790645001809;57790645001804;Atun C des. en Aceite y agua  x 170g;3.3;2339;N;1;48;0
7798094222349;;Budin Tutto dolce C/Fruta x180 grs (10);1.97;0;N;1;10;0
7790645002363;57790645002368;Atun Caracas des. al Natural x 170g;3.15;2324;N;1;48;0
605;;Choc Celofan Mogy 28u x 25g;15.32;0;N;1;12;0
7790645002417;57790645002412;Sardinas en Aceite 50u x 160g;4.93;810;N;1;50;0
7792665000848;;Arroz Quebrado Monarca x 1kg (10);2.15;1369;N;1;10;0
7791290785069;;Ala Aloe Vera Lv Vaj 15u x 750 ml;4.03;1248;N;1;15;0
7791906919222;;Toallitas Lips c/alas Perf.x40u;1.3;1;N;1;40;0
7794000720343;77794000720342;Knorr S. Cubos Albah y Ajo x 4u;2.63;0;N;1;120;0
7794000720367;77794000720366;Knorr Sabor Cubos Tuco x 4u;2.63;0;N;1;120;0
7790380017387;;Tableta Alteza Leche Mani 20u X 45g;19.48;164;N;1;8;0
903;;Pitusas Pepitas 4,5 kg Fort.;37.98;46;N;1;1;0
7791324156995;;Pitusas Pepitas 30 x 160 grs;1.62;1170;N;1;30;0
905;;Globos pi�ata x 1;4.86;0;N;1;40;0
7792409000202;;Rollo de Cocina 8Px3Ux40H.;3.17;39;N;1;8;0
909;;Pa�ales Gift Barreras Ch. x 14u x 16;5.34;0;N;1;16;0
7793024000202;;Lipo Dor Chocolate y Menta x 800 g;14.78;2;N;1;12;0
7793024000394;;Bolon Menta x 907g;14.04;0;N;1;12;0
915;;Caramelo Leche Sab. Coco 12x100;8.69;0;N;1;12;0
7798006350245;;Pastillas Clix x 50u;8.91;168;N;1;32;0
918;;Traviata 32u x 120g;0;0;N;1;32;0
7794268005091;;Pimenton Bolsa R.M 1 x 1kg;30.4;5;N;1;1;0
921;;Comino Molido Bolsa R.M 1x1kg;31.94;1;N;1;1;0
7798094222356;;Budin Tutto Dolce Sin Fruta x 180g (10);1.97;0;N;1;10;0
7791324157411;;Pitusas Pepitas 12x400grs;3.48;267;N;1;12;0
7790380411710;;Mast. Flynnies Surtidos 102u x 459g;8.37;527;N;1;12;0
7798094221243;;Pan Dulce Nevares C/F x400grs (12);4.39;0;N;1;12;0
929;;Pan Dulce Nevares Madrile�o x360g (12);4.32;3;N;1;12;0
930;;Pan Dulce Nevares Marmolado x400g (12);4.32;118;N;1;12;0
931;;Budin Nevares C/F 10x300g;3.61;0;N;1;10;0
932;;Budin Nevares S/F 10x300gr;3.61;0;N;1;10;0
933;;Budin Nevares Marmolado 10x300g;3.61;0;N;1;10;0
7798094222318;;Budin Fantasia chocolate x 160g (18);2.08;0;N;1;18;0
